name,description
Granuloma,肉芽腫本身是指histiocytes聚集在一起的集合。該種細胞在細胞受損後，會透過特定的發炎反應，引發肉芽腫的形成。於感染、自體免疫、異物、過敏原和腫瘤性疾病等等疾病可能發生。
Consolidation change,肺部實質化，泛指本來容納空氣的肺泡腔被充滿了液體、細胞、組織或其他物質，如血胸，發炎細胞，滲出液等等皆有可能造成。
Ground.glass.opacitie,毛玻璃混濁，通常指的是一部分不透明且模糊的區域，本身不具有特異性，急性期的感染、水腫、出血，或者慢性的纖維化、腫瘤等等皆有可能。
Pneumonia,肺炎，代表肺部實質的感染，胸部X光最常見的有大葉性肺炎和間質性肺炎，多半呈現肺實質化及發炎徵象，部分會表現像毛玻璃混濁或者胸腔積水等。
Fibrosis change,肺纖維化是在間質纖維化組織過多的描述性術語，常見於急性期如呼吸窘迫症候群、新冠肺炎感染後纖維化，慢性如特發性肺纖維化等等自體免疫或者結締組織疾病皆可以表現。
Emphysematous change,肺氣腫是中老年人常見疾病，是指呼吸道末端處的氣道彈性減弱，導致肺組織過度膨脹，肺容積增大，同時伴隨氣道壁破壞，影響氣體交換，導致呼吸困難，甚至心肺衰竭。主要原因包括長期吸菸、暴露在空氣汙染環境中，其他因素如抗胰蛋白酶缺乏、職業粉塵和化學物質暴露、呼吸道感染等。
Pneumothorax,肋膜腔正常情況下是一個不含空氣的密閉潛在性體腔。當任何原因導致空氣進入肋膜腔時，即為氣胸。表現就是一塊區域內沒有看到肺血管紋。嚴重到造成縱隔結構壓迫時會危及到生命，即為張力性氣胸。
Infiltration,肺浸潤指的是在細胞或組織內逐漸積聚的異常物質，或在肺的間質或肺泡中出現的任何外來物質或細胞，暗示肺部某種潛在問題，並無特異性。
Atelectasis,肺不張為肺或部分肺（也稱為肺葉）萎陷。當肺部的肺泡漏氣時就會出現這一狀況。於手術後常見，也可能是其他呼吸問題的併發症，例如囊性纖維化、肺腫瘤、胸部損傷、肺部積液和呼吸無力。吸入異物也可能導致肺不張。
Scalloping of the diaphragm,橫膈膨起是指在胸部X光片或其他影像檢查中觀察到的一種表現，指的是膈肌的凹凸不平的外觀。受影響部分的膈肌通常呈現平滑的隆起，而另一側的膈肌輪廓正常。可能原因包括肺組織的問題，如肺實質結構、肺部腫塊、肺部塌陷和肺栓塞。此外，也有可能屬於胸膜和膈下區域的問題，如肺下胸膜腔積液、胸膜腫塊等等。
Costophrenic angle blunting,肋膈角鈍化，指雙側肺最下區域之銳角鈍化，通常暗示有少量胸腔積液，通常至少要有200cc。少部分肺部疤痕也有可能造成同樣的表現。
Pleural effusion,胸腔積水，於站姿時可能呈現肋膈角鈍化，於躺姿時可能呈現整片肺浸潤，可能原因主要可分為漏出液和滲出液，其中心臟衰竭、腎病症候群、肝硬化、惡性腫瘤、肺栓塞、肺炎、類風濕疾病等皆有可能有此表現，其他如血胸、膿胸、乳糜胸於胸部X光無法和積水區分。
Atherosclerosis,動脈粥狀硬化定義是動脈壁增厚及失去血管彈性，由於X光本身沒辦法細看血管走向，通常在X光上表現為沿著大血管擴散及環繞的鈣化，部分研究指出其可能代表除傳統危險因子之外的心血管事件的強而有力的獨立預測因子。
Cardiomegaly,心臟擴大，指的是影像上心臟增大，於胸部X光片上可利用心胸比大於0.5作為判斷，可能造成原因很多，病理性如心臟衰竭、高血壓、瓣膜疾病、心肌相關病變、慢性肺阻塞疾病乃至於正常的生理現象皆有可能，通常暗示需要進一步的心臟檢查。
Prominence of hilar shadow,肺門陰影增大，暗示肺門區除正常組織以外，可能有潛藏的病灶存在，常見如感染、惡性腫瘤(淋巴瘤、實質癌症、縱膈腔瘤等)、部分礦工相關粉塵疾病、多發性硬化症等等皆屬於可能原因。
Pulmonary edema,肺水腫泛指肺細胞外，血管外間質區域液體的異常聚集，常伴隨著呼吸困難、端坐呼吸等症狀，最常見原因為心因性，於X光上會有些特別的表現，如支氣管及肺門附近的不透明化，呈現像蝴蝶或者鹿角似(stag's antler sign)的分布，也會因為小葉之間變得明顯而產生小白線(Kerley lines)，通常會合併漏出性的肺積水，嚴重肺積水甚至需要插管協助維持氧氣。
Calcification,鈣化點於x光上呈現細微高亮白點，十分常見於動脈粥狀硬化患者其血管的邊界，故暗示著整體血管品質較差、心血管風險較高之情況，除此之外，部份情況肺部也會出現鈣化點，部分肺部感染、塵肺症、鈣化肉芽腫等等皆有可能。
Degenerative joint disease,又稱骨關節炎，是最常見的關節炎形式，常見於肥胖、老年、女性患者，於影像上表現關節間隙不對稱變窄、關節邊緣之軟骨呈現硬化之表現、骨贅的產生，或者關節退化性的侵蝕等等。因為其低成本性，於臨床上可以使用Kellgren and Lawrence classification等評分系統及合併病人症狀判斷介入性治療之必要及後續追蹤，但部分情況仍須更高階之檢查進行評估。
Scoliosis,即脊椎異常的側向彎曲，多半無症狀且常見於年輕人，定義為影像上任何側向彎曲超過科布角>10° (上下兩節最傾斜的椎體的垂直線使其相交)，多數原因為特發性的，視其角度大小、角度進展之速度、病患年齡等來決定保守輔具治療或手術介入。
Fracture,骨折定義為機械力超過骨骼本身能承受的壓力而產生骨骼的不連續面，除了外力，骨質疏鬆、長期使用累積的微骨折等等都是有可能造成骨折的，於X光上可以見到骨小樑的不連續性，周圍脂肪異常腫大或一些碎片。
